Ticker,IssueDate,AssetClass,Industry,sub-industry,Maturity,AnnounceDate,MtyType,Currency,%Women,%IndependentDirectors,AmtIssued,CouponType,BBGComposite,S&PRating,MoodyRating,Country/Region,CO2perEnergy,CO2perSales,CO2perEmployee
TSLAEN,8/20/2015,Corporates,Industrial,Renewable Energy,8/20/2030,8/17/2015,AT MATURITY,USD,22.22220039,77.77780151,5000000,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,UNITED STATES,#N/A N/A,#N/A N/A,#N/A N/A
TSLAEN,8/20/2015,Corporates,Industrial,Renewable Energy,8/20/2025,8/17/2015,AT MATURITY,USD,22.22220039,77.77780151,5000000,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,UNITED STATES,#N/A N/A,#N/A N/A,#N/A N/A
TADENR,7/27/2017,Corporates,Industrial,Power Generation,7/28/2025,7/26/2017,AT MATURITY,MYR,#N/A Field Not Applicable,#N/A Field Not Applicable,4675620,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,MALAYSIA,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
TSLAEN,8/27/2015,Corporates,Industrial,Renewable Energy,8/27/2025,8/24/2015,AT MATURITY,USD,22.22220039,77.77780151,5000000,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,UNITED STATES,#N/A N/A,#N/A N/A,#N/A N/A
XTRUBK,8/15/2018,Corporates,Bank,Banks,8/15/2023,8/8/2018,AT MATURITY,CNY,#N/A N/A,#N/A N/A,36050250,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,CHINA,#N/A N/A,#N/A N/A,#N/A N/A
CQTGBK,12/27/2018,Corporates,Bank,Banks,12/27/2023,12/21/2018,AT MATURITY,CNY,#N/A N/A,#N/A N/A,145639000,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,CHINA,#N/A N/A,#N/A N/A,#N/A N/A
FASTIG,1/31/2018,Corporates,REIT,Real Estate,1/31/2028,1/24/2018,AT MATURITY,NOK,66.66670227,55.55559921,51845600,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,SWEDEN,55.94328265,1.737938858,41.55631277
SINKAM,1/30/2018,Corporates,Industrial,Power Generation,1/30/2024,1/23/2018,AT MATURITY,MYR,#N/A N/A,#N/A N/A,3845655,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,MALAYSIA,#N/A N/A,#N/A N/A,#N/A N/A
TSLAEN,12/17/2015,Corporates,Industrial,Renewable Energy,12/17/2030,12/14/2015,AT MATURITY,USD,22.22220039,77.77780151,5000000,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,UNITED STATES,#N/A N/A,#N/A N/A,#N/A N/A
FASTIG,1/25/2018,Corporates,REIT,Real Estate,1/25/2023,1/18/2018,AT MATURITY,SEK,66.66670227,55.55559921,25463800,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,SWEDEN,55.94328265,1.737938858,41.55631277
TSLAEN,12/3/2015,Corporates,Industrial,Renewable Energy,12/3/2025,11/30/2015,AT MATURITY,USD,22.22220039,77.77780151,5000000,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,UNITED STATES,#N/A N/A,#N/A N/A,#N/A N/A
